rank,index,url
1,1,https://baidu.com
2,184,http://ifeng.com
3,93,http://bjjubao.org
4,8,http://home.baidu.com
5,11,http://jianyi.baidu.com
6,96,http://app.hao123.com/app
7,136,http://gmw.cn
8,2,http://news.baidu.com
9,6,http://tieba.baidu.com
10,10,http://baidu.com/duty
11,4,http://map.baidu.com
12,7,http://baidu.com/more
13,5,http://v.baidu.com
14,91,http://net.china.cn/chinese/index.htm
15,86,http://report.12377.cn:13225/toreportinputNormal_anis.do
16,156,http://hao123.com/gaoxiao
17,142,http://v.hao123.baidu.com/dianshi
18,146,http://v.hao123.baidu.com/dianying
19,143,http://v.hao123.baidu.com/zongyi
20,148,http://v.hao123.baidu.com/dongman
21,159,http://hao123.com/exam
22,147,http://live.hao123.com
23,155,http://hao123.com/xingzuonew.html
24,181,http://163.com
25,140,http://cac.gov.cn
26,145,http://xyx.hao123.com
27,92,http://cyberpolice.cn/wfjb
28,3,http://hao123.com
29,158,https://hao123.com/haoxue
30,54,http://topics.gmw.cn/node_114815.htm
31,187,http://v.hao123.baidu.com
32,134,http://china.com.cn
33,144,http://game.hao123.com
34,138,http://qstheory.cn
35,15,http://wenku.baidu.com
36,132,http://cri.cn
37,14,http://image.baidu.com
38,9,http://ir.baidu.com
39,154,http://caipiao.hao123.com
40,135,http://ce.cn
41,105,http://zhidao.baidu.com
42,129,http://people.com.cn
43,137,http://cnr.cn
44,139,http://youth.cn
45,120,http://tuijian.hao123.com
46,130,http://xinhuanet.com
47,180,http://qq.com
48,13,http://music.baidu.com
49,131,http://cctv.com
50,160,http://hao123.com/stocknew
51,21,http://fangtan.china.com.cn/2018-12/13/content_74259768.htm
52,153,http://tejia.hao123.com
53,23,http://news.gmw.cn/2018-12/13/content_32157433.htm
54,179,http://sohu.com
55,182,http://iqiyi.com
56,55,http://qstheory.cn/zt2017/xcgcdd19djs/index.htm
57,20,http://politics.gmw.cn/2018-12/13/content_32163926.htm
58,177,http://sina.com.cn
59,149,http://hao123.com/manhua
60,133,http://cn.chinadaily.com.cn
61,195,http://hao123.com/licai
62,178,https://weibo.com
63,194,http://eastmoney.com
64,16,http://jian.news.baidu.com
65,66,http://baijiahao.baidu.com/s?id=1619690247277020168
66,67,http://baijiahao.baidu.com/s?id=1619697708424396008
67,68,http://baijiahao.baidu.com/s?id=1619694273531439559
68,85,http://baijiahao.baidu.com/s?id=1619702271369281889
69,94,https://s.click.taobao.com/t?e=m%3D2%26s%3D7WCg0%2BpzKwgcQipKwQzePCperVdZeJviK7Vc7tFgwiFRAdhuF14FMa2XsNgKZ%2BOxt4hWD5k2kjP%2FTrTNBNETjAtOHPHN0vssKO4N%2F%2F7xLcVZMTj583r1vqUuZxIcp9pfUIgVEmFmgnaR4ypTBJBwtC8UTyjdhQwHJPwiig1bxLMnyi1UQ%2F17I10hO9fBPG8oXH%2BQH9e66Y4%3D
70,12,https://zhidao.baidu.com
71,17,http://xinhuanet.com/politics/leaders/2018-12/13/c_1210015116.htm
72,18,http://xinhuanet.com/politics/leaders/2018-12/13/c_1123849745.htm
73,19,http://xinhuanet.com//2018-12/13/c_1123847871.htm
74,22,http://news.ifeng.com/mainland/special/ggkf40znzsjs
75,24,http://opinion.huanqiu.com/editorial/2018-12/13785734.html
76,25,http://xinhuanet.com/2018-12/12/c_1123843904.htm
77,26,http://xinhuanet.com/politics/2018-12/13/c_1123846649.htm
78,27,http://news.cctv.com/2018/12/13/ARTIVv8jLsLjI7YOXHLqSCET181213.shtml
79,28,https://xinwen.eastday.com/a/n181213183717076.html?qid=news.baidu.com
80,29,https://3w.huanqiu.com/a/c36dc8/7IBoOVVXgYw?agt=8
81,30,http://news.ifeng.com/a/20181213/60191712_0.shtml?_zbs_baidu_news
82,31,https://finance.ifeng.com/c/7ibPZoSgYng?_zbs_baidu_news
83,32,http://news.ifeng.com/a/20181213/60191838_0.shtml?_zbs_baidu_news
84,33,http://news.ifeng.com/a/20181213/60191848_0.shtml?_zbs_baidu_news
85,34,http://news.ifeng.com/a/20181213/60191878_0.shtml?_zbs_baidu_news
86,35,http://news.ifeng.com/a/20181213/60191771_0.shtml?_zbs_baidu_news
87,36,http://news.ifeng.com/a/20181213/60191283_0.shtml?_zbs_baidu_news
88,37,https://3w.huanqiu.com/a/21eee3/7IBKuSI6oyk?agt=8
89,38,https://3w.huanqiu.com/a/c36dc8/7IBm3zwBF8Q?agt=8
90,39,https://3w.huanqiu.com/a/3458fa/7IByF0yJc7C?agt=8
