rank,index,url
1,1,https://baidu.com
2,8,http://home.baidu.com
3,10,http://baidu.com/duty
4,5,http://v.baidu.com
5,2,http://news.baidu.com
6,6,http://tieba.baidu.com
7,4,http://map.baidu.com
8,13,http://music.baidu.com
9,15,http://wenku.baidu.com
10,14,http://image.baidu.com
11,3,http://hao123.com
12,7,http://baidu.com/bdorz/login.gif?login&tpl=mn&u=http%3A%2F%2Fbaidu.com%2f%3fbdorz_come%3d1
13,9,http://ir.baidu.com
14,11,http://jianyi.baidu.com
15,16,http://jian.news.baidu.com
16,12,https://zhidao.baidu.com
17,17,http://xinhuanet.com/politics/leaders/2018-12/13/c_1210015116.htm
18,18,http://xinhuanet.com/politics/leaders/2018-12/13/c_1123849745.htm
19,19,http://xinhuanet.com//2018-12/13/c_1123847871.htm
20,20,http://politics.gmw.cn/2018-12/13/content_32163926.htm
