rank,index,url
1,140,http://cac.gov.cn
2,92,http://cyberpolice.cn/wfjb
3,1,https://baidu.com
4,93,http://bjjubao.org
5,184,http://ifeng.com
6,181,http://163.com
7,8,http://home.baidu.com
8,86,http://report.12377.cn:13225/toreportinputNormal_anis.do
9,11,http://jianyi.baidu.com
10,5,http://v.baidu.com
11,10,http://baidu.com/duty
12,2,http://news.baidu.com
13,6,http://tieba.baidu.com
14,4,http://map.baidu.com
15,136,http://gmw.cn
16,7,http://baidu.com/more
17,208,http://4399.com
18,226,http://cmbchina.com
19,229,http://cnki.net
20,3,http://hao123.com
21,54,http://topics.gmw.cn/node_114815.htm
22,15,http://wenku.baidu.com
23,14,http://image.baidu.com
24,105,http://zhidao.baidu.com
25,134,http://china.com.cn
26,138,http://qstheory.cn
27,9,http://ir.baidu.com
28,13,http://music.baidu.com
29,132,http://cri.cn
30,135,http://ce.cn
31,129,http://people.com.cn
32,137,http://cnr.cn
33,139,http://youth.cn
34,130,http://xinhuanet.com
35,131,http://cctv.com
36,21,http://fangtan.china.com.cn/2018-12/13/content_74259768.htm
37,182,http://iqiyi.com
38,202,http://youku.com
39,96,http://app.hao123.com/app
40,23,http://news.gmw.cn/2018-12/13/content_32157433.htm
41,194,http://eastmoney.com
42,216,https://mail.qq.com
43,180,http://qq.com
44,120,http://tuijian.hao123.com
45,179,http://sohu.com
46,91,http://net.china.cn/chinese/index.htm
47,20,http://politics.gmw.cn/2018-12/13/content_32163926.htm
48,145,http://xyx.hao123.com
49,155,http://hao123.com/xingzuonew.html
50,156,http://hao123.com/gaoxiao
51,142,http://v.hao123.baidu.com/dianshi
52,146,http://v.hao123.baidu.com/dianying
53,133,http://cn.chinadaily.com.cn
54,143,http://v.hao123.baidu.com/zongyi
55,147,http://live.hao123.com
56,148,http://v.hao123.baidu.com/dongman
57,159,http://hao123.com/exam
58,55,http://qstheory.cn/zt2017/xcgcdd19djs/index.htm
59,220,http://mail.sina.com.cn
60,177,http://sina.com.cn
61,158,https://hao123.com/haoxue
62,144,http://game.hao123.com
63,221,https://mail.sohu.com
64,206,http://hao123.com/sports
65,178,https://weibo.com
66,222,http://icbc.com.cn/icbc
67,160,http://hao123.com/stocknew
68,16,http://jian.news.baidu.com
69,66,http://baijiahao.baidu.com/s?id=1619690247277020168
70,67,http://baijiahao.baidu.com/s?id=1619697708424396008
71,68,http://baijiahao.baidu.com/s?id=1619694273531439559
72,85,http://baijiahao.baidu.com/s?id=1619702271369281889
73,187,http://v.hao123.baidu.com
74,195,http://hao123.com/licai
75,154,http://caipiao.hao123.com
76,153,http://tejia.hao123.com
77,94,https://s.click.taobao.com/t?e=m%3D2%26s%3D7WCg0%2BpzKwgcQipKwQzePCperVdZeJviK7Vc7tFgwiFRAdhuF14FMa2XsNgKZ%2BOxt4hWD5k2kjP%2FTrTNBNETjAtOHPHN0vssKO4N%2F%2F7xLcVZMTj583r1vqUuZxIcp9pfUIgVEmFmgnaR4ypTBJBwtC8UTyjdhQwHJPwiig1bxLMnyi1UQ%2F17I10hO9fBPG8oXH%2BQH9e66Y4%3D
78,12,https://zhidao.baidu.com
79,17,http://xinhuanet.com/politics/leaders/2018-12/13/c_1210015116.htm
80,18,http://xinhuanet.com/politics/leaders/2018-12/13/c_1123849745.htm
81,19,http://xinhuanet.com//2018-12/13/c_1123847871.htm
82,22,http://news.ifeng.com/mainland/special/ggkf40znzsjs
83,24,http://opinion.huanqiu.com/editorial/2018-12/13785734.html
84,25,http://xinhuanet.com/2018-12/12/c_1123843904.htm
85,26,http://xinhuanet.com/politics/2018-12/13/c_1123846649.htm
86,27,http://news.cctv.com/2018/12/13/ARTIVv8jLsLjI7YOXHLqSCET181213.shtml
87,28,https://xinwen.eastday.com/a/n181213183717076.html?qid=news.baidu.com
88,29,https://3w.huanqiu.com/a/c36dc8/7IBoOVVXgYw?agt=8
89,30,http://news.ifeng.com/a/20181213/60191712_0.shtml?_zbs_baidu_news
90,31,https://finance.ifeng.com/c/7ibPZoSgYng?_zbs_baidu_news
91,32,http://news.ifeng.com/a/20181213/60191838_0.shtml?_zbs_baidu_news
92,33,http://news.ifeng.com/a/20181213/60191848_0.shtml?_zbs_baidu_news
93,34,http://news.ifeng.com/a/20181213/60191878_0.shtml?_zbs_baidu_news
94,35,http://news.ifeng.com/a/20181213/60191771_0.shtml?_zbs_baidu_news
95,36,http://news.ifeng.com/a/20181213/60191283_0.shtml?_zbs_baidu_news
96,37,https://3w.huanqiu.com/a/21eee3/7IBKuSI6oyk?agt=8
97,38,https://3w.huanqiu.com/a/c36dc8/7IBm3zwBF8Q?agt=8
98,39,https://3w.huanqiu.com/a/3458fa/7IByF0yJc7C?agt=8
99,40,http://chinanews.com/gj/2018/12-13/8701316.shtml
100,41,http://news.ifeng.com/a/20181213/60191657_0.shtml?_zbs_baidu_news
101,42,https://3w.huanqiu.com/a/621e1c/7IBDycVLrsQ?agt=8
102,43,http://news.ifeng.com/a/20181213/60191409_0.shtml?_zbs_baidu_news
103,44,http://travel.ifeng.com/a/20181213/45260764_0.shtml?_zbs_baidu_news
104,45,https://finance.ifeng.com/c/7ibRHZt1wDg?_zbs_baidu_news
105,46,https://news.ifeng.com/c/7ibTiBhAMsK?_zbs_baidu_news
106,47,https://xinwen.eastday.com/a/181213202341680.html?qid=news.baidu.com
107,48,http://news.ifeng.com/a/20181213/60191711_0.shtml?_zbs_baidu_news
108,49,https://xinwen.eastday.com/a/n181213212118680.html?qid=news.baidu.com
109,50,http://news.ifeng.com/a/20181213/60191248_0.shtml?_zbs_baidu_news
110,51,http://news.ifeng.com/a/20181212/60191343_0.shtml?_zbs_baidu_news
