rank,index,url
1,6854,http://qstheory.cn/qssyggw/2014-08/06/c_1111961674.htm
2,6858,http://qstheory.cn/qssyggw/2014-08/12/c_1112042256.htm
3,330,http://baidu.com
4,138,http://ce.cn
5,132,http://people.com.cn
6,10,http://baidu.com/duty
7,1348,http://miitbeian.gov.cn
8,1004,http://cctv.com/program/20110130/column_header/index.shtml
9,1,https://baidu.com
10,143,http://cac.gov.cn
11,7007,http://big5.cac.gov.cn
12,8,http://home.baidu.com
13,1013,http://miibeian.gov.cn
14,2,http://news.baidu.com
15,137,http://china.com.cn
16,11,http://jianyi.baidu.com
17,15,http://wenku.baidu.com
18,7,http://baidu.com/more
19,95,http://cyberpolice.cn/wfjb
20,5371,http://art.china.cn/salon/node_514176.htm
21,7064,http://cac.gov.cn/zyjs.htm
22,7033,http://cac.gov.cn/gzzc.htm
23,7037,http://cac.gov.cn/jypx.htm
24,7038,http://cac.gov.cn/xzfg.htm
25,7040,http://cac.gov.cn/hdzx.htm
26,7068,http://cac.gov.cn/xgbmfb.htm
27,7072,http://cac.gov.cn/bgsfb.htm
28,7082,http://cac.gov.cn/df0.htm
29,7425,http://cac.gov.cn/ghzc.htm
30,7435,http://cac.gov.cn/xxhgzdt.htm
31,7445,http://cac.gov.cn/cbgz.htm
32,7460,http://cac.gov.cn/wsznl.htm
33,7495,http://cac.gov.cn/fl.htm
34,7509,http://cac.gov.cn/bmgz.htm
35,7518,http://cac.gov.cn/sfjs.htm
36,7524,http://cac.gov.cn/gfxwj.htm
37,7533,http://cac.gov.cn/zcwj.htm
38,7541,http://cac.gov.cn/wshd.htm
39,7548,http://cac.gov.cn/hzjl.htm
40,7563,http://cac.gov.cn/jbzx.htm
41,7567,http://cac.gov.cn/yjdt.htm
42,7572,http://cac.gov.cn/yjdsj.htm
43,7573,http://cac.gov.cn/wlfz.htm
44,7574,http://cac.gov.cn/jscx.htm
45,7576,http://cac.gov.cn/gjkj.htm
46,329,http://12377.cn
47,142,http://youth.cn
48,6,http://tieba.baidu.com
49,4,http://map.baidu.com
50,486,http://cntv.cn
51,139,http://gmw.cn
52,328,http://beian.gov.cn/portal/registerSystemInfo?recordcode=11000002000001
53,187,http://ifeng.com
54,5,http://v.baidu.com
55,1352,http://travel.ifeng.com
56,2261,http://iscn.org.cn
57,2077,https://passport.baidu.com/v2/?login&tpl=mn&u=http://baidu.com
58,2078,http://i.baidu.com
59,2079,http://i.baidu.com/center
60,2080,http://passport.baidu.com
61,2081,https://passport.baidu.com/?logout&u=https://baidu.com
62,134,http://cctv.com
63,5410,http://zy.china.com.cn/node_7203535.htm
64,1847,http://en.gmw.cn
65,140,http://cnr.cn
66,1995,http://gmw.cn/content/node_8926.htm
67,1868,http://gmw.cn/map.htm
68,3415,http://auto.people.com.cn
69,1993,http://gmw.cn/node_21441.htm
70,1994,http://gmw.cn/aboutus.htm
71,1996,http://gmw.cn/node_46280.htm
72,1997,http://gmw.cn/node_46279.htm
73,1998,http://gmw.cn/gm
74,1999,http://mail.gmw.cn
75,4968,http://french.china.org.cn
76,4969,http://german.china.org.cn
77,1003,http://cctv.cn
78,3,http://hao123.com
79,5496,http://district.ce.cn/zt/rwk/index.shtml
80,3404,http://tv.people.com.cn
81,2264,http://12321.cn
82,317,http://miercn.com
83,135,http://cri.cn
84,3399,http://finance.people.com.cn
85,3406,http://theory.people.com.cn
86,1852,http://theory.gmw.cn
87,3416,http://health.people.com.cn
88,3410,http://edu.people.com.cn
89,949,http://livechina.com
90,974,http://reg.cctv.com/forgetPassword/findPassword.action
91,3953,http://people.com.cn/GB/208743/403202/index.html
92,948,http://ipanda.com
93,5255,http://cn.chinagate.cn/indepths/fupin/node_7173753.htm
94,3912,http://gov.cn
95,1856,http://economy.gmw.cn
96,9,http://ir.baidu.com
97,969,http://help.cntv.cn
98,1010,http://1118.cctv.com/chinese/index.shtml
99,141,http://qstheory.cn
100,727,http://baidu.com/bdorz/login.gif?login&tpl=mn&u=http%3A%2F%2Fbaidu.com%2f%3fbdorz_come%3d1
101,1007,http://cntv.cn/special/guanyunew/PAGE13818868795101877/index.shtml
102,970,http://app.cctv.com/appkhdxz/ydb/index.shtml
103,1851,http://guancha.gmw.cn
104,1854,http://tech.gmw.cn
105,1853,http://culture.gmw.cn
106,1857,http://life.gmw.cn
107,1855,http://edu.gmw.cn
108,1849,http://politics.gmw.cn
109,1850,http://world.gmw.cn
110,1858,http://legal.gmw.cn
111,3405,http://renshi.people.com.cn
112,3402,http://opinion.people.com.cn
113,3411,http://sports.people.com.cn
114,3403,http://leaders.people.com.cn
115,3398,http://world.people.com.cn
116,952,http://tv.cctv.com/lm
