index,weight
1,0.00599226224631237
8,0.005244019078048362
10,0.00493061446415136
93,0.004916488120206496
5,0.003826477861010197
322,0.0032954754528151547
310,0.0031148841330900564
6,0.002737188227441601
2,0.002644535342409233
4,0.002627546103404067
500,0.002459394363705446
323,0.0022759848000751533
186,0.0021630046304845054
313,0.002149671089093686
231,0.0019966337842784554
11,0.001944767919872432
87,0.0017631515868824906
496,0.0017534508287956137
171,0.0017210203719231164
3,0.001712471071056427
288,0.0016837211530216513
321,0.0014538269972005611
302,0.0014352421438216482
330,0.0012589995493830523
331,0.0012589995493830523
332,0.0012589995493830523
333,0.0012589995493830523
334,0.0012589995493830523
335,0.0012589995493830523
336,0.0012589995493830523
337,0.0012589995493830523
346,0.0012589995493830523
348,0.0012589995493830523
349,0.0012589995493830523
351,0.0012589995493830523
355,0.0012589995493830523
356,0.0012589995493830523
497,0.0012566397606368566
138,0.001244324366596217
319,0.0012259912055865548
311,0.0012035387219685324
107,0.0011828141099977105
501,0.0011676583723812446
13,0.0010777865040110723
97,0.0010737208704125012
14,0.0010428701037505607
317,0.0010275850643059578
318,0.0010275850643059578
147,0.001002162721409081
157,0.001002162721409081
158,0.001002162721409081
490,0.0009896038115015245
491,0.0009896038115015245
492,0.0009896038115015245
493,0.0009896038115015245
494,0.0009896038115015245
495,0.0009896038115015245
498,0.0009896038115015245
499,0.0009896038115015245
502,0.0009896038115015245
303,0.0009698733075825786
505,0.0009653670818178658
506,0.0009653670818178658
507,0.0009653670818178658
509,0.0009653670818178658
510,0.0009653670818178658
144,0.0009653578410578419
145,0.0009653578410578419
148,0.0009653578410578419
150,0.0009653578410578419
106,0.0009602249471397425
149,0.0009582537525895276
161,0.0009582537525895276
15,0.0009464861602081168
160,0.0009387378937704132
142,0.000885666129527044
534,0.0008449912354298191
538,0.0008354060668924483
94,0.0008324852482437107
7,0.0008150572446285387
9,0.0008150572446285387
132,0.0007171298083207852
141,0.000695466248444893
137,0.0006814421780086998
